uf29,BA,m2924058,Pé de Serra,
uf29,BA,m2924108,Pedrão,
uf29,BA,m2924207,Pedro Alexandre,
uf29,BA,m2924306,Piatã,
uf29,BA,m2924405,Pilão Arcado,
uf29,BA,m2924504,Pindaí,
uf29,BA,m2924603,Pindobaçu,
uf29,BA,m2924652,Pintadas,
uf29,BA,m2924678,Piraí do Norte,
uf29,BA,m2924702,Piripá,
uf29,BA,m2924801,Piritiba,
uf29,BA,m2924900,Planaltino,
uf29,BA,m2925006,Planalto,
uf29,BA,m2925105,Poções,
uf29,BA,m2925204,Pojuca,
uf29,BA,m2925253,Ponto Novo,
uf29,BA,m2925303,Porto Seguro,
uf29,BA,m2925402,Potiraguá,
uf29,BA,m2925501,Prado,
uf29,BA,m2925600,Presidente Dutra,
uf29,BA,m2925709,Presidente Jânio Quadros,
uf29,BA,m2925758,Presidente Tancredo Neves,
uf29,BA,m2925808,Queimadas,
uf29,BA,m2925907,Quijingue,
uf29,BA,m2925931,Quixabeira,
uf29,BA,m2925956,Rafael Jambeiro,
uf29,BA,m2926004,Remanso,
uf29,BA,m2926103,Retirolândia,
uf29,BA,m2926202,Riachão das Neves,
uf29,BA,m2926301,Riachão do Jacuípe,
uf29,BA,m2926400,Riacho de Santana,
uf29,BA,m2926509,Ribeira do Amparo,
uf29,BA,m2926608,Ribeira do Pombal,
uf29,BA,m2926657,Ribeirão do Largo,
uf29,BA,m2926707,Rio de Contas,
uf29,BA,m2926806,Rio do Antônio,
uf29,BA,m2926905,Rio do Pires,
uf29,BA,m2927002,Rio Real,
uf29,BA,m2927101,Rodelas,
uf29,BA,m2927200,Ruy Barbosa,
uf29,BA,m2927309,Salinas da Margarida,
uf29,BA,m2927408,Salvador,
uf29,BA,m2927507,Santa Bárbara,
uf29,BA,m2927606,Santa Brígida,
uf29,BA,m2927705,Santa Cruz Cabrália,
uf29,BA,m2927804,Santa Cruz da Vitória,
uf29,BA,m2927903,Santa Inês,
uf29,BA,m2928059,Santa Luzia,
uf29,BA,m2928109,Santa Maria da Vitória,
uf29,BA,m2928406,Santa Rita de Cássia,
uf29,BA,m2928505,Santa Teresinha,
uf29,BA,m2928000,Santaluz,
uf29,BA,m2928208,Santana,
uf29,BA,m2928307,Santanópolis,
uf29,BA,m2928604,Santo Amaro,
uf29,BA,m2928703,Santo Antônio de Jesus,
uf29,BA,m2928802,Santo Estêvão,
uf29,BA,m2928901,São Desidério,
uf29,BA,m2928950,São Domingos,
uf29,BA,m2929107,São Felipe,
uf29,BA,m2929008,São Félix,
uf29,BA,m2929057,São Félix do Coribe,
uf29,BA,m2929206,São Francisco do Conde,
uf29,BA,m2929255,São Gabriel,
uf29,BA,m2929305,São Gonçalo dos Campos,
uf29,BA,m2929354,São José da Vitória,
uf29,BA,m2929370,São José do Jacuípe,
uf29,BA,m2929404,São Miguel das Matas,
uf29,BA,m2929503,São Sebastião do Passé,
uf29,BA,m2929602,Sapeaçu,
uf29,BA,m2929701,Sátiro Dias,
uf29,BA,m2929750,Saubara,
uf29,BA,m2929800,Saúde,
uf29,BA,m2929909,Seabra,
uf29,BA,m2930006,Sebastião Laranjeiras,
uf29,BA,m2930105,Senhor do Bonfim,
uf29,BA,m2930204,Sento Sé,
uf29,BA,m2930154,Serra do Ramalho,
uf29,BA,m2930303,Serra Dourada,
uf29,BA,m2930402,Serra Preta,
uf29,BA,m2930501,Serrinha,
uf29,BA,m2930600,Serrolândia,
uf29,BA,m2930709,Simões Filho,
uf29,BA,m2930758,Sítio do Mato,
uf29,BA,m2930766,Sítio do Quinto,
uf29,BA,m2930774,Sobradinho,
uf29,BA,m2930808,Souto Soares,
uf29,BA,m2930907,Tabocas do Brejo Velho,
uf29,BA,m2931004,Tanhaçu,
uf29,BA,m2931053,Tanque Novo,
uf29,BA,m2931103,Tanquinho,
uf29,BA,m2931202,Taperoá,
uf29,BA,m2931301,Tapiramutá,
uf29,BA,m2931350,Teixeira de Freitas,
uf29,BA,m2931400,Teodoro Sampaio,
uf29,BA,m2931509,Teofilândia,
uf29,BA,m2931608,Teolândia,
uf29,BA,m2931707,Terra Nova,
uf29,BA,m2931806,Tremedal,
uf29,BA,m2931905,Tucano,
uf29,BA,m2932002,Uauá,
uf29,BA,m2932101,Ubaíra,
uf29,BA,m2932200,Ubaitaba,
uf29,BA,m2932309,Ubatã,
uf29,BA,m2932408,Uibaí,
uf29,BA,m2932457,Umburanas,
uf29,BA,m2932507,Una,
uf29,BA,m2932606,Urandi,
uf29,BA,m2932705,Uruçuca,
uf29,BA,m2932804,Utinga,
uf29,BA,m2932903,Valença,
uf29,BA,m2933000,Valente,
uf29,BA,m2933059,Várzea da Roça,
uf29,BA,m2933109,Várzea do Poço,
uf29,BA,m2933158,Várzea Nova,
uf29,BA,m2933174,Varzedo,
uf29,BA,m2933208,Vera Cruz,
uf29,BA,m2933257,Vereda,
uf29,BA,m2933307,Vitória da Conquista,
uf29,BA,m2933406,Wagner,
uf29,BA,m2933455,Wanderley,
uf29,BA,m2933505,Wenceslau Guimarães,
uf29,BA,m2933604,Xique-Xique,
uf23,CE,m2300101,Abaiara,
uf23,CE,m2300150,Acarape,
uf23,CE,m2300200,Acaraú,
uf23,CE,m2300309,Acopiara,
uf23,CE,m2300408,Aiuaba,
uf23,CE,m2300507,Alcântaras,
uf23,CE,m2300606,Altaneira,
uf23,CE,m2300705,Alto Santo,
uf23,CE,m2300754,Amontada,
uf23,CE,m2300804,Antonina do Norte,
uf23,CE,m2300903,Apuiarés,
uf23,CE,m2301000,Aquiraz,
uf23,CE,m2301109,Aracati,
